ID,Location,Date of observation,Latitude ,Longitude,Fire type,"Size, ha","A_s, kBq m-2",Temp,Precipitation,W_velocity,W_dir,Observation point,"A_v, Bq m-3 * 10-5"
1,Krasnogorski dist,3/15/2016,52.976300 ,31.624099 ,srf,null,555,-0.1,0,1.8,N,Gomel,22
2,Krasnogorski dist,3/27/2016,52.776185 ,31.627578 ,srf,598,555,2.1,0,2.1,N,Gomel,27
3,Gordeevski dist,3/27/2016,53.027300 ,31.976699 ,srf,null,185,2.1,0,2.1,N,Gomel,27
4,Mihailovskay str,3/27/2016,52.910700 ,31.997800 ,crwn,null,185,2.1,0,2.1,N,Gomel,27
5,Klincovski dist,3/27/2016,52.702100 ,32.182600 ,crwn,null,555,2.1,0,2.1,N,Gomel,27
6,Klimovski dist,3/27/2016,52.394800 ,32.460599 ,crwn,null,555,2.1,0,2.1,N,Gomel,27
7,Krasnogorski dist,3/28/2016,52.816873 ,31.611099 ,srf,386,555,3.5,0,2.6,E,Gomel,23
8,Novosibkov,3/28/2016,52.506400 ,31.990299 ,crwn,null,1480,3.5,0,2.6,E,Gomel,23
9,Novosibkovski dist,4/3/2016,52.688870 ,31.552047 ,srf,461,1480,4.9,0,4.8,NW,Gomel,15
10,Gordeevski dist,4/3/2016,52.956900 ,32.082199 ,crwn,null,185,4.9,0,4.8,NW,Gomel,15
11,Novosibkovski dist,4/4/2016,52.668887 ,31.601486 ,crwn,454,1480,7.3,0,3.4,NW,Gomel,15
12,Krasnogorski dist,4/5/2016,53.127800 ,31.458600 ,srf,null,555,5.6,0,1.1,N,Gomel,17
13,Krasnogorski dist,4/5/2016,52.844699 ,31.633700 ,srf,null,555,5.6,0,1.1,N,Gomel,17
14,Gordeevski dist,4/5/2016,52.870099 ,31.908599 ,srf,null,185,5.6,0,1.1,N,Gomel,17
15,Gordeevski dist,4/5/2016,52.871999 ,31.930799 ,srf,null,185,5.6,0,1.1,N,Gomel,17
16,Klincovski dist,4/5/2016,52.701399 ,32.187499 ,crwn,null,555,5.6,0,1.1,N,Gomel,17
17,Krasnogorski dist,4/6/2016,53.183200 ,31.754199 ,crwn,null,555,9.1,0,1.1,S,Gomel,29
18,Krasnogorski dist,4/6/2016,53.179599 ,31.743599 ,crwn,null,555,9.1,0,1.1,S,Gomel,29
19,Krasnogorski dist,4/6/2016,53.165399 ,31.746900 ,crwn,null,555,9.1,0,1.1,S,Gomel,29
20,Krasnogorski dist,4/6/2016,52.896200 ,31.580300 ,crwn,null,555,9.1,0,1.1,S,Gomel,29
21,Surajski dist,4/8/2016,53.088200 ,32.516600 ,crwn,null,555,9.9,0,1.4,SE,Gomel,27
22,Unechski dist,4/8/2016,52.945199 ,32.796299 ,crwn,null,185,9.9,0,1.4,SE,Gomel,27
23,Unechski dist,4/8/2016,52.942599 ,32.808000 ,srf,null,185,9.9,0,1.4,SE,Gomel,27
24,Klimovski dist,4/8/2016,52.424100 ,32.356400 ,srf,null,555,9.9,0,1.4,SE,Gomel,27
25,Klimovski dist,4/8/2016,52.424499 ,32.366300 ,crwn,null,555,9.9,0,1.4,SE,Gomel,27
26,Pogarski dist,4/8/2016,52.397900 ,32.934900 ,srf,null,185,9.9,0,1.4,SE,Gomel,27
27,Surajski dist,4/11/2016,53.099384 ,32.277832 ,srf,931,555,11.1,0,3,NE,Gomel,36
28,Gordeevski dist,4/11/2016,52.975699 ,31.714499 ,crwn,null,185,11.1,0,3,NE,Gomel,36
29,Krasnogorski dist,4/11/2016,52.973100 ,31.699199 ,crwn,null,555,11.1,0,3,NE,Gomel,36
30,Surajski dist,4/12/2016,53.114223 ,32.269592 ,srf,381,555,10.3,0,1.8,NE,Gomel,45
31,Starodubski dist,4/12/2016,52.583399 ,32.698899 ,srf,null,185,10.3,0,1.8,NE,Gomel,45
32,Surajski dist,4/13/2016,53.045754 ,32.224273 ,crwn,507,555,13.2,0,2.3,SE,Gomel,48
33,Krasnogorski dist,4/13/2016,53.142499 ,31.742400 ,srf,null,555,13.2,0,2.3,SE,Gomel,48
34,Krasnogorski dist,4/13/2016,53.142200 ,31.731100 ,srf,null,555,13.2,0,2.3,SE,Gomel,48
35,Gordeevski dist,4/13/2016,52.903500 ,31.943200 ,srf,null,185,13.2,0,2.3,SE,Gomel,48
36,Unechski dist,4/13/2016,52.886999 ,32.680300 ,crwn,null,185,13.2,0,2.3,SE,Gomel,48
37,Unechski dist,4/13/2016,52.883200 ,32.661699 ,crwn,null,185,13.2,0,2.3,SE,Gomel,48
38,Starodubski dist,7/29/2016,52.689000 ,32.554499 ,crwn,null,185,24.1,0,1.1,W,Gomel,45
39,Starodubski dist,7/29/2016,52.682100 ,32.559700 ,crwn,null,185,24.1,0,1.1,W,Gomel,45
40,Starodubski dist,8/27/2016,52.648599 ,32.616800 ,srf,null,185,20.6,0,1.6,W,Gomel,24
41,Uvelie,3/8/2017,52.769539 ,31.634445 ,crwn,386,1480,6.2,0,1.1,SE,Gomel,17
42,Krasnogorski dist,3/9/2017,52.784492 ,31.641311 ,crwn,199.3,555,6,0,2.4,SE,Gomel,45
43,Navlinski dist,3/10/2017,52.859595 ,34.672508 ,crwn,534,185,5.7,0,2.4,SE,Gomel,30
44,Karacgevski dist,3/26/2017,53.089200 ,35.113800 ,srf,null,185,2.2,0,1.8,W,Gomel,19
45,Logovatoe,3/29/2017,52.596600 ,32.562600 ,crwn,null,185,2.4,0,2.6,NW,Gomel,14
46,Klimovski dist,3/29/2017,52.418500 ,32.298000 ,crwn,null,555,2.4,0,2.6,NW,Gomel,14
47,Surajski dist,4/2/2017,53.153499 ,32.339799 ,crwn,null,555,9.6,2,2.3,SW,Gomel,15
48,Chernookovo,4/2/2017,52.418500 ,32.418800 ,srf,null,555,9.6,2,2.3,SW,Gomel,15
49,Klimovski dist,4/2/2017,52.375000 ,32.160699 ,crwn,null,555,9.6,2,2.3,SW,Gomel,15
50,Radinsk,4/3/2017,52.634900 ,33.844700 ,crwn,null,185,11.9,0,2.6,NW,Gomel,24
51,Navlinski dist,4/5/2017,52.826100 ,34.224099 ,crwn,null,185,7.6,0.6,1.9,S,Gomel,38
52,Krasnogorski dist,4/9/2017,53.042100 ,32.684699 ,crwn,null,555,5.2,1.7,2.4,N,Gomel,15
53,Klincovski dist,4/11/2017,52.708011 ,32.190628 ,crwn,777,555,10.5,1,3.7,SW,Gomel,14
54,Trubchevski dist,4/11/2017,52.307429 ,33.545894 ,crwn,359,185,10.5,1,3.7,SW,Gomel,14
